time,user_name,user_color,message
145,olvarinnat,#5F9EA0,"Moro iiro"
150,poppari11,#00FF7F,"Huomenta kansalle"
152,dj8db,,"saako musiikkia kovemmalle"
154,zzzjeeeee,#008000,"xff"
155,martinfall1n,,"Oliko täs turnaukses stage semifinaalis ja finaalis"
157,navixhf,#D6FF00,"moro olva"
162,rreissi,,"vessapaperiorava vai?"
162,riqumato,#FF0000,"Jos oisin lammas, söisin oravia"
163,eetusqt,#AFFF25,"laitoin just vesimelonin airfryeriin"
164,nightbot,#7C7CE1,"HÄ!? AGON by AOC pelinäytöillä kelpaa pelitellä! https://pelaajat.com/out/agon"
166,captbablobronzebeard,#FF69B4,"kuka ny ei söisi kebabbia"
168,tomskatv,#0000FF,"jos oisin kebab söisin oravia"
170,traxleri,,"saisko musaa vähemmän taustalle"
172,toume,#DAA520,"Samppa voisinko muuttaa teille asumaan?"
174,j0ssu,#8A2BE2,"maksaako se sitten oravannahalla xff"
175,baronvonkaya,#FF4500,"iskender meta"
176,himonsokaisematintti,#008000,"Olvari kumpi mieluummin, Samppa pihalla vai Olli kujalla?"
181,streamelements,#5B99FF,"pelaajatcom is now live! Streaming Counter-Strike: 🖤 ESL Pro League S22 Q-Finals 💚 3DMAX vs Falcons 💚🎙️ @OLVARi & @SamppaCS2 🖤"
181,morko_pubg,,"Oon paskalla"
184,neea_owo,#FF69B4,"can confirm, oon orava ja kebu maistuu :3"
186,tolebob,,"döner"
186,eetusqt,#AFFF25,"xffong"
188,rapass,,"Tiesittekö että oravat syö niiden omat pennut jos joku löytää niiden pesän"
188,jomenaa,#1E90FF,"!blingblong"
188,nightbot,#7C7CE1,"Chilli Cheese McDouble 3,50. Mäkkäristä. https://pelaajat.com/out/mcdonalds"
189,nightbot,#7C7CE1,"https://i.imgur.com/lSRZRzl.mp4"
189,rreissi,,"@himonsokaisematintti HUH"
191,zzzjeeeee,#008000,"xffong"
192,captbablobronzebeard,#FF69B4,"oiskohan oravasta kebabiksi"
192,mixu77,#8A2BE2,"xff"
193,et_cs,#00FF7F,"Jos olisin kirjolohi söisin kuusamon 5cm 1gg ruskapapukaija räsäsen"
193,osxu,#0000FF,"ois hauska nähdä joskus pelin jälkeen joku mylly niin lätkässä ja fudiksessa mm."
199,lederhosengmbh,#B22222,"Se yks orava pölli suklaata aikanaan siwasta. Olisin kyl se jo olisin orava."
204,chilifinn,#FF0000,"Voiko koko pelin katsoa työpaikan wc:ssä ennen kuin kukaan huomaa."
207,nightbot,#7C7CE1,"Suomen hermeettisimmät löylyt ja saunatilat – nyt kampanjahintaan 199€/vrk🔥 Bootcampin yhteydessä saunatilat –50% https://pelaajat.com/saunatilat"
213,olvarinpikkuvarpaankarva,,"Miltäköhän orava mikä on syöny pelkästään kebabbia maistus"
218,captbablobronzebeard,#FF69B4,"@LederhosenGmbH suomen ryöstetyin"
226,nightbot,#7C7CE1,"ESL Pro League -kohteet Veikkauksella! Pelaa maltilla. https://pelaajat.com/out/veikkaus3"
232,captbablobronzebeard,#FF69B4,"@olvarinpikkuvarpaankarva hummukselta"
237,soiro86,,"Olvari, t*ökaveri sano tossa et seuraavat majorit tulis vaan kickissä? Pitääkö paikkaansa???"
243,nightbot,#7C7CE1,"Ryysi devaajaksi 2 vuodessa! https://pelaajat.com/out/koodsisu"
